Title,Views,Upload_data,Video_link,Thumbnail_link
Top 8 Reasons to Choose Java | GeeksforGeeks,2.5K views,9 months ago,/watch?v=ELHWRuATsTA,https://i.ytimg.com/vi/ELHWRuATsTA/hqdefault.jpg
Welcome Sandeep Jain at KIET Ghaziabad | GeeksforGeeks,2K views,9 months ago,/watch?v=UkW6L9uyKJQ,https://i.ytimg.com/vi/UkW6L9uyKJQ/hqdefault.jpg
How I got into Amazon as a SDE | GeeksforGeeks,5.6K views,9 months ago,/watch?v=PowHu7wwROQ,https://i.ytimg.com/vi/PowHu7wwROQ/hqdefault.jpg
What RBR has to say about GeeksforGeeks,13K views,9 months ago,/watch?v=iUCyZm58VGg,https://i.ytimg.com/vi/iUCyZm58VGg/hqdefault.jpg
From Tier 3 to Amazon | GeeksforGeeks,3K views,10 months ago,/watch?v=zpX1UQyqAWU,https://i.ytimg.com/vi/zpX1UQyqAWU/hqdefault.jpg
Interview Experience at Amazon | GeeksforGeeks,3.2K views,10 months ago,/watch?v=L7ZX63xFicw,https://i.ytimg.com/vi/L7ZX63xFicw/hqdefault.jpg
"A Brighter Future Awaits | GfG Karlo, Ho Jayega | GeeksforGeeks Ft. Urvi Singh",26K views,10 months ago,/watch?v=8IckHy8TJlw,https://i.ytimg.com/vi/8IckHy8TJlw/hqdefault.jpg
My interview experience at Walmart | GeeksforGeeks,2K views,10 months ago,/watch?v=L2HP_CyXRMs,https://i.ytimg.com/vi/L2HP_CyXRMs/hqdefault.jpg
How I got job offers from 2 big companies : Arcesium & Microsoft | GeeksforGeeks,2.6K views,10 months ago,/watch?v=v0jqqZmUNyY,https://i.ytimg.com/vi/v0jqqZmUNyY/hqdefault.jpg
"GFG Karlo, Ho Jayega | GeeksforGeeks ft. Khaleel Ahmed",40K views,10 months ago,/watch?v=b2yIeIj3Jrc,https://i.ytimg.com/vi/b2yIeIj3Jrc/hqdefault.jpg
Complete Interview Preparation Course | GeeksforGeeks,7.3K views,10 months ago,/watch?v=1REko14HjD8,https://i.ytimg.com/vi/1REko14HjD8/hqdefault.jpg
My journey through the tech world from India to US | Vidushi | GeeksforGeeks,2.1K views,10 months ago,/watch?v=IXgQGoj0rSk,https://i.ytimg.com/vi/IXgQGoj0rSk/hqdefault.jpg
Interview Experience @ Amazon | GeeksforGeeks,4K views,10 months ago,/watch?v=SMgm_gpJyNU,https://i.ytimg.com/vi/SMgm_gpJyNU/hqdefault.jpg
Life Is Unfair Ft. Shonty badmash | LIVE Discord Session | A GeeksforGeeks Exclusive,1.7K views,10 months ago,/watch?v=49MRLvZaG3s,https://i.ytimg.com/vi/49MRLvZaG3s/hqdefault.jpg
Journey from JIIT to Adobe,3.2K views,10 months ago,/watch?v=9CswKbEqj5A,https://i.ytimg.com/vi/9CswKbEqj5A/hqdefault.jpg
GATE Live Classes | Prepare for GATE CS 2023 | GeeksforGeeks,2K views,10 months ago,/watch?v=61KrUQsuu8M,https://i.ytimg.com/vi/61KrUQsuu8M/hqdefault.jpg
DSA Self-Paced Course Preview | Sandeep Jain | GeeksforGeeks,64K views,11 months ago,/watch?v=Pt2vYaJgGy8,https://i.ytimg.com/vi/Pt2vYaJgGy8/hqdefault.jpg
From Tier 3 to cracking multiple interviews | GeeksforGeeks,1.2K views,11 months ago,/watch?v=QNWW9Njph8g,https://i.ytimg.com/vi/QNWW9Njph8g/hqdefault.jpg
GeeksforGeeks: Redesigned,1.5K views,11 months ago,/watch?v=YrpAcmahCb8,https://i.ytimg.com/vi/YrpAcmahCb8/hqdefault.jpg
